BKKT,17.72
BKNG,1.9
BKR,1.41
BKSC,0.34
BKSY,5.31
BKTI,0.74
BKU,7.85
BKYI,0.41
BL,8.37
BLAC,0.01
BLBD,2.57
BLBX,2.53
BLCM,1.07
BLCO,17.49
BLD,2.92
BLDE,5.92
BLDP,12.49
BLDR,4.03
BLEU,0.03
BLFS,5.85
BLFY,2.2
BLIN,0.16
BLK,1.45
BLKB,1.36
BLMN,12.73
BLND,5.13
BLNG,0.02
BLNK,26.91
BLPH,4.82
BLU,10.82
BLUA,0.22
BLUE,22.56
BLX,0.59
BLZE,1.29
BMAC,0.08
BMBL,4.82
BMEA,18.71
BMI,3.55
BMO,1.61
BMR,0.33
BMRA,2.58
BMRC,4.37
BMRN,3.45
BMTX,9.42
BMY,0.85
BN,0.71
BNED,1.45
BNGO,20.94
BNL,1.42
BNMV,0.93
BNNR,0.06
BNRE,0.42
BNRG,3.29
BNS,2.38
BNSO,0.68
BNTC,15.59
BOAC,0.83
BOC,2.88
BOCN,0.02
BODY,7.67
BOH,12.14
BOKF,2.84
BOLT,4.23
BON,0.52
BOOM,2.74
BOOT,9.82
BORR,5.53
BOSC,0.22
BOTJ,0.2
BOWL,10.33
BOX,5.4
BOXL,0.21
BPMC,7.25
BPOP,3.35
BPRN,2.52
BPT,9.06
BPTH,1.05
BR,2.08
BRAC,0.01
BRAG,0.79
BRBR,2.81
BRBS,1.01
BRC,1.63
BRCC,21.45
BRD,0.04
BRDG,1.9
BRDS,11.58
BREA,0.1
BREZ,0.32
BRFH,0.61
BRID,0.32
BRIV,0.01
BRK.A,0.35
BRKH,0.27
BRKL,2.62
BRKR,3.99
BRLI,0.31
BRLT,2.78
BRMK,2.36
BRN,0.4
BRO,1.04
BROG,0.02
BROS,21.59
BRP,4.5
BRQS,3.47
BRSH,1.28
BRSP,2.26
BRT,0.95
BRTX,2.5
BRX,1.6
BRY,3.9
BRZE,6.15
BSBK,0.4
BSET,0.95
BSFC,2.91
BSGM,3.74
BSIG,1.89
BSM,1.14
BSQR,0.04
BSRR,0.59
BSVN,0.47
BSX,1.08
BSY,2.51
BTAI,18.68
BTB,4.08
BTBD,0.13
BTBT,12.09
BTCS,0.41
BTCY,0.97
BTDR,0.11
BTE,5.8
BTG,1.55
BTMD,0.35
BTOG,0.18
BTTR,1.28
BTTX,6.58
BTU,11.93
BTWN,0.35
BUR,1.12
BURL,5.19
BURU,4.27
BUSE,1.01
BV,3.24
BVH,5.13
BVS,6.03
BW,3.3
BWA,2.82
BWAC,0.1
BWAQ,0.01
BWB,1.73
BWC,0.06
BWEN,3.29
BWFG,1.97
BWMN,0.63
BWMX,0.31
BWV,3.37
BWXT,2.42
BX,3.4
BXC,4.68
BXMT,10.94
BXP,5.04
BXRX,5.02
BXSL,0.52
BY,4.67
BYD,6.23
BYFC,0.16
BYN,4.56
BYND,34.1
BYNO,0.02
BYRN,4.25
BYSI,7.78
BYTS,4.57
BZFD,6.27
BZH,3.23
C,1.56
CAAP,4.64
CAAS,1.6
CABA,14.67
CABO,6.46
CAC,3.27
CACC,14.2
CACI,2.58
CACO,0.18
CADE,4.96
CADL,0.27
CAE,0.83
CAG,2.46
CAH,2.17
CAKE,18.17
CAL,6.1
CALB,0.26
CALM,17.75
CALX,3.1
CAMP,2.51
CAMT,2.21
CANO,13.13
CAPL,0.35
CAPR,1.08
CAR,7.89
CARA,10.47
CARE,0.64
CARG,11.35
CARM,1.2
CARR,1.51
CARS,3.07
CARV,0.71
CASA,4.04
CASH,8.73
CASI,3.23
CASS,1.51
CASY,2.77
CAT,1.4
CATC,1.5
CATO,7.63
CATX,0.91
CATY,1.67
CB,0.48
CBAN,0.78
CBAT,1.9
CBAY,11.47
CBFV,0.13
CBIO,0.93
CBL,5.03
CBNK,0.77
CBOE,2.55
CBRE,2.55
CBRL,12.27
CBSH,2.02
CBT,1.51
CBU,3.42
CBZ,0.68
CC,2.85
CCAI,1.2
CCAP,0.4
CCB,3.58
CCBG,1.13
CCCC,6.53
CCCS,2.74
CCD,2.52
CCEL,0.12
CCEP,0.99
CCF,0.75
CCI,1
CCJ,3.59
CCK,2.54
CCL,12.92
CCLD,0.14
CCLP,0.11
CCNE,0.75
CCO,9.1
CCOI,3.91
CCRD,5.1
CCRN,18.19
CCS,6.06
CCSI,3.5
CCTS,0.02
CCV,0.1
CCVI,0.06
CDAY,6.88
CDE,3.59
CDIO,2.25
CDLX,17.38
CDMO,8.46
CDNA,9.94
CDNS,1.23
CDRE,3.89
CDRO,1.38
CDTX,3.84
CDW,1.12
CDXC,3.71
CDXS,6.82
CDZI,2.81
CE,3.73
CEAD,1.52
CECO,1.45
CEG,1.89
CEI,9.86
CEIX,7.71
CELC,3.6
CELH,21.54
CELL,4
CELU,6.35
CELZ,9.71
CENN,7.46
CENT,2.9
CENX,12.16
CEQP,6.11
CERE,8.57
CERS,4.63
CERT,6.11
